order_id,width,height,quantity,priority
URGENT_001,400,300,1,HIGH
URGENT_002,350,250,2,HIGH
URGENT_003,300,400,1,HIGH
URGENT_004,500,200,1,HIGH
URGENT_005,450,350,1,HIGH
URGENT_006,600,300,1,HIGH
URGENT_007,250,500,2,HIGH
URGENT_008,400,400,1,HIGH
NORMAL_001,450,350,1,MEDIUM
NORMAL_002,300,300,2,MEDIUM
NORMAL_003,250,200,3,MEDIUM
NORMAL_004,400,400,1,MEDIUM
NORMAL_005,350,300,2,MEDIUM
NORMAL_006,500,250,1,MEDIUM
NORMAL_007,200,400,2,MEDIUM
NORMAL_008,350,450,1,MEDIUM
NORMAL_009,300,200,4,MEDIUM
NORMAL_010,450,300,2,MEDIUM
LOW_001,600,400,1,LOW
LOW_002,300,250,4,LOW
LOW_003,400,350,2,LOW
LOW_004,250,300,3,LOW
LOW_005,500,300,1,LOW
LOW_006,200,200,5,LOW
LOW_007,550,400,1,LOW
LOW_008,350,500,2,LOW
LOW_009,400,250,3,LOW
LOW_010,300,400,2,LOW
LOW_011,450,200,4,LOW
LOW_012,250,450,3,LOW
LOW_013,500,350,1,LOW
LOW_014,200,300,6,LOW
LOW_015,400,300,2,LOW 
