cut_id,order_id,stock_id,stock_material,position_x_mm,position_y_mm,width_mm,height_mm,rotation_degrees,area_mm2,cutting_sequence,end_x_mm,end_y_mm,perimeter_mm,estimated_cut_time_min
CUT_001,ORD,PLASTIC_C3,plastic,0,0,800,600,0.0,480000,1,800,600,2800,1.4
CUT_002,ORD,PLASTIC_C3,plastic,800,0,800,600,0.0,480000,2,1600,600,2800,1.4
CUT_003,ORD,PLASTIC_C3,plastic,1600,0,800,600,0.0,480000,3,2400,600,2800,1.4
CUT_004,ORD,METAL_B2,metal,0,0,600,400,0.0,240000,4,600,400,2000,1.0
CUT_005,ORD,WOOD_A1,wood,0,0,400,300,0.0,120000,5,400,300,1400,0.7
CUT_006,ORD,WOOD_A1,wood,400,0,400,300,0.0,120000,6,800,300,1400,0.7
CUT_007,ORD,WOOD_A1,wood,800,0,300,200,0.0,60000,7,1100,200,1000,0.5
CUT_008,ORD,WOOD_A1,wood,1100,0,300,200,0.0,60000,8,1400,200,1000,0.5
CUT_009,ORD,WOOD_A1,wood,1400,0,300,200,0.0,60000,9,1700,200,1000,0.5
CUT_010,ORD,WOOD_A1,wood,1700,0,300,200,0.0,60000,10,2000,200,1000,0.5
